Year,Mode,ROG,CO,NOx,PM10,PM2_5,DPM,SOx,CO2e
2005,Cruise,16.0,46.0,588.0,52.4,0.0,52.4,383.0,0
2005,RSZ,27.0,63.0,647.0,60.2,0.0,60.2,395.0,0
2005,Maneuver,53.0,58.0,458.0,43.6,0.0,43.6,157.0,0
2005,Berth,21.0,65.0,767.0,61.3,0.0,61.3,464.0,0
2005,Anchorage,1.0,2.0,24.0,2.0,0.0,2.0,15.0,0
2012,Cruise,30.0,42.0,618.0,14.0,13.0,12.0,65.0,24712
2012,RSZ,38.0,52.0,626.0,15.3,14.2,12.7,70.0,26598
2012,Maneuver,72.0,61.0,512.0,13.6,12.6,12.4,34.0,17551
2012,Berth,36.0,75.0,825.0,23.7,22.0,20.1,119.0,64619
2012,Anchorage,0.0,1.0,11.0,0.3,0.3,0.3,2.0,853
2015,Cruise,25.25,36.1,502.0,8.51,7.84,8.13,31.0,21091
2015,RSZ,32.06,44.52,509.79,9.27,8.52,8.66,32.95,22673
2015,Maneuver,61.39,52.45,416.07,8.93,8.24,8.57,10.18,15129
2015,Berth,41.31,86.26,890.16,22.61,21.05,18.05,48.72,82067
2015,Anchorage,17.19,36.13,369.51,8.86,8.15,7.88,17.93,28792
2017,Cruise,31.17,44.49,651.45,11.37,10.53,10.01,41.25,26040
2017,RSZ,39.11,52.83,592.27,11.78,10.93,10.05,42.46,25046
2017,Maneuver,74.75,64.47,526.35,11.47,10.6,10.6,13.14,18938
2017,Berth,20.83,43.33,444.05,11.8,11.02,8.84,27.02,45240
2017,Anchorage,3.7,7.76,78.44,1.96,1.82,1.66,3.96,6714
2020,Cruise,25.22,44.75,491.62,6.23,5.73,6.16,12.1,19560
2020,RSZ,31.3,51.83,455.96,6.56,6.04,6.17,12.09,19545
2020,Maneuver,60.58,60.67,415.25,6.7,6.17,6.4,9.32,15057
2020,Berth,18.38,38.99,378.99,9.23,8.49,5.63,25.34,42492
2020,Anchorage,8.45,17.75,179.71,3.44,3.16,2.81,8.79,14200
