Year,Mode,ROG,CO,NOx,PM10,PM2_5,DPM,SOx,CO2e
2012,Surface Roads,3.14,11.19,80.0,1.76,1.21,1.02,0.127,14994
2012,Gate Idling,1.76,9.48,15.5,0.12,0.11,0.12,0.015,1562
2012,In-Terminal Idling,3.38,18.15,29.8,0.23,0.22,0.23,0.028,2989
2012,In-Terminal Driving,4.32,9.86,9.9,0.88,0.65,0.6,0.049,8654
2015,Surface Roads,2.21,7.02,46.93,0.83,0.43,0.22,0.11,12385
2015,Gate Idling,0.42,1.68,11.61,0.002,0.002,0.002,0.02,1838
2015,In-Terminal Idling,0.71,2.84,19.66,0.004,0.004,0.004,0.03,3113
2015,In-Terminal Driving,2.68,8.45,35.85,0.4,0.23,0.13,0.05,7619
2017,Surface Roads,1.07,3.35,23.15,0.488,0.251,0.125,0.07,7276
2017,Gate Idling,0.43,4.1,8.31,0.003,0.003,0.003,0.01,1272
2017,In-Terminal Idling,0.99,9.5,19.27,0.007,0.006,0.007,0.03,2947
2017,In-Terminal Driving,2.19,6.96,29.17,0.404,0.222,0.127,0.07,8310
2020,Surface Roads,0.97,3.22,25.3,0.937,0.373,0.104,0.09,9945
2020,Gate Idling,0.59,6.34,10.19,0.003,0.003,0.003,0.02,1735
2020,In-Terminal Idling,1.32,14.22,22.83,0.008,0.007,0.008,0.04,3890
2020,In-Terminal Driving,1.85,6.26,30.95,0.749,0.307,0.094,0.09,10211
